160,12.5,3.2,45.6,67.8,9.0,11.1,22.2,33.3,44.4,55.5,66.6,77.7,88.8,99.9,111.1,222.2,333.3,444.4,555.5
591,14.3,25.6,37.8,49.0,51.2,63.4,75.6,87.8,99.0,101.2,113.4,125.6,137.8,149.0,151.2,163.4,175.6,187.8,199.0
114,6.7,8.9,10.1,12.3,14.5,16.7,18.9,20.1,22.3,24.5,26.7,28.9,30.1,32.3,34.5,36.7,38.9,40.1,42.3
229,18.4,20.6,22.8,25.0,27.2,29.4,31.6,33.8,36.0,38.2,40.4,42.6,44.8,47.0,49.2,51.4,53.6,55.8,58.0
230,25.6,27.8,30.0,32.2,34.4,36.6,38.8,41.0,43.2,45.4,47.6,49.8,52.0,54.2,56.4,58.6,60.8,63.0,65.2
270,62.1,64.3,66.5,68.7,70.9,73.1,75.3,77.5,79.7,81.9,84.1,86.3,88.5,90.7,92.9,95.1,97.3,99.5,101.7
128,16.7,18.9,21.1,23.3,25.5,27.7,29.9,32.1,34.3,36.5,38.7,40.9,43.1,45.3,47.5,49.7,51.9,54.1,56.3
1657,187.6,189.8,192.0,194.2,196.4,198.6,200.8,203.0,205.2,207.4,209.6,211.8,214.0,216.2,218.4,220.6,222.8,225.0,227.2
624,36.9,39.1,41.3,43.5,45.7,47.9,50.1,52.3,54.5,56.7,58.9,61.1,63.3,65.5,67.7,69.9,72.1,74.3,76.5
1503,132.1,134.3,136.5,138.7,140.9,143.1,145.3,147.5,149.7,151.9,154.1,156.3,158.5,160.7,162.9,165.1,167.3,169.5,171.7
